hour,price_gbp_per_mwh,hour_of_day,day_of_week,day_of_year
513,68.6,9,0,21
514,67.58,10,0,21
515,171.74,11,0,21
516,89.49,12,0,21
517,82.97,13,0,21
518,77.95,14,0,21
519,72.9,15,0,21
520,76.18,16,0,21
521,83.66,17,0,21
522,69.83,18,0,21
523,82.15,19,0,21
524,54.74,20,0,21
525,59.28,21,0,21
526,54.54,22,0,21
527,47.65,23,0,21
528,54.67,0,1,22
529,59.64,1,1,22
530,61.69,2,1,22
531,76.77,3,1,22
532,65.61,4,1,22
533,73.99,5,1,22
534,68.42,6,1,22
535,84.42,7,1,22
536,93.08,8,1,22
537,80.63,9,1,22
538,70.34,10,1,22
539,75.09,11,1,22
540,82.15,12,1,22
541,83.13,13,1,22
542,83.87,14,1,22
543,80.06,15,1,22
544,73.95,16,1,22
545,65.91,17,1,22
546,71.1,18,1,22
547,79.63,19,1,22
548,70.05,20,1,22
549,63.68,21,1,22
550,65.74,22,1,22
551,53.33,23,1,22
552,51.79,0,2,23
553,50.28,1,2,23
554,56.46,2,2,23
555,56.0,3,2,23
556,71.52,4,2,23
557,140.95,5,2,23
558,61.44,6,2,23
559,86.5,7,2,23
560,70.25,8,2,23
561,77.57,9,2,23
562,81.86,10,2,23
563,130.36,11,2,23
564,89.74,12,2,23
565,84.55,13,2,23
566,90.72,14,2,23
567,70.91,15,2,23
568,74.65,16,2,23
569,71.28,17,2,23
570,69.97,18,2,23
571,53.12,19,2,23
572,62.74,20,2,23
573,47.96,21,2,23
574,60.33,22,2,23
575,39.24,23,2,23
576,41.01,0,3,24
577,62.78,1,3,24
578,53.05,2,3,24
579,51.43,3,3,24
580,71.99,4,3,24
581,67.34,5,3,24
582,74.8,6,3,24
583,69.6,7,3,24
584,95.26,8,3,24
585,71.47,9,3,24
586,92.17,10,3,24
587,78.92,11,3,24
588,66.58,12,3,24
589,83.27,13,3,24
590,80.73,14,3,24
591,67.9,15,3,24
592,66.44,16,3,24
593,70.73,17,3,24
594,70.62,18,3,24
595,44.95,19,3,24
596,70.25,20,3,24
597,55.38,21,3,24
598,46.77,22,3,24
599,63.76,23,3,24
600,55.59,0,4,25
601,65.92,1,4,25
602,60.89,2,4,25
603,59.28,3,4,25
604,60.56,4,4,25
605,68.53,5,4,25
606,64.47,6,4,25
607,64.06,7,4,25
608,78.66,8,4,25
609,75.11,9,4,25
610,78.44,10,4,25
611,88.08,11,4,25
612,78.87,12,4,25
613,79.49,13,4,25
614,73.37,14,4,25
615,79.71,15,4,25
616,76.58,16,4,25
617,78.09,17,4,25
618,63.15,18,4,25
619,61.01,19,4,25
620,68.12,20,4,25
621,61.31,21,4,25
622,50.14,22,4,25
623,66.64,23,4,25
624,31.14,0,5,26
625,51.42,1,5,26
626,36.22,2,5,26
627,63.33,3,5,26
628,38.38,4,5,26
629,62.84,5,5,26
630,56.08,6,5,26
631,56.9,7,5,26
632,64.22,8,5,26
633,70.27,9,5,26
634,59.89,10,5,26
635,61.8,11,5,26
636,73.93,12,5,26
637,54.66,13,5,26
638,62.45,14,5,26
639,89.54,15,5,26
640,134.99,16,5,26
641,69.02,17,5,26
642,52.04,18,5,26
643,57.7,19,5,26
644,55.97,20,5,26
645,57.28,21,5,26
646,44.74,22,5,26
647,61.05,23,5,26
648,39.97,0,6,27
649,46.96,1,6,27
650,48.25,2,6,27
651,39.22,3,6,27
652,48.39,4,6,27
653,54.87,5,6,27
654,53.22,6,6,27
655,79.31,7,6,27
656,55.97,8,6,27
657,74.6,9,6,27
658,73.93,10,6,27
659,68.16,11,6,27
660,61.76,12,6,27
661,62.13,13,6,27
662,62.93,14,6,27
663,50.88,15,6,27
664,54.65,16,6,27
665,47.93,17,6,27
666,67.45,18,6,27
667,58.52,19,6,27
668,56.97,20,6,27
669,52.91,21,6,27
670,47.62,22,6,27
671,56.78,23,6,27
672,50.74,0,0,28
673,56.89,1,0,28
674,63.21,2,0,28
675,48.57,3,0,28
676,86.4,4,0,28
677,64.75,5,0,28
678,68.76,6,0,28
679,80.79,7,0,28
680,80.95,8,0,28
681,76.42,9,0,28
682,79.06,10,0,28
683,67.18,11,0,28
684,75.17,12,0,28
685,83.35,13,0,28
686,81.57,14,0,28
687,85.88,15,0,28
688,72.66,16,0,28
689,59.63,17,0,28
690,76.08,18,0,28
691,76.01,19,0,28
692,68.81,20,0,28
693,57.83,21,0,28
694,65.59,22,0,28
695,83.47,23,0,28
696,56.49,0,1,29
697,45.48,1,1,29
698,52.48,2,1,29
699,64.09,3,1,29
700,48.73,4,1,29
701,65.82,5,1,29
702,70.61,6,1,29
703,82.95,7,1,29
704,84.05,8,1,29
705,82.97,9,1,29
706,60.66,10,1,29
707,86.53,11,1,29
708,85.21,12,1,29
709,81.21,13,1,29
710,64.12,14,1,29
711,69.84,15,1,29
712,64.23,16,1,29
713,54.55,17,1,29
714,67.54,18,1,29
715,58.08,19,1,29
716,82.57,20,1,29
717,57.73,21,1,29
718,67.52,22,1,29
719,43.42,23,1,29
720,51.26,0,2,30
721,56.69,1,2,30
722,49.85,2,2,30
723,55.64,3,2,30
724,59.76,4,2,30
725,62.53,5,2,30
726,82.34,6,2,30
727,73.63,7,2,30
728,77.34,8,2,30
729,80.31,9,2,30
730,82.8,10,2,30
731,78.43,11,2,30
732,76.94,12,2,30
733,80.43,13,2,30
734,87.15,14,2,30
735,85.0,15,2,30
736,71.58,16,2,30
737,76.75,17,2,30
738,65.95,18,2,30
739,64.67,19,2,30
740,57.71,20,2,30
741,57.56,21,2,30
742,67.84,22,2,30
743,56.65,23,2,30
744,56.52,0,3,31
745,44.27,1,3,31
746,54.57,2,3,31
747,57.02,3,3,31
748,54.8,4,3,31
749,64.5,5,3,31
750,64.0,6,3,31
751,71.18,7,3,31
752,74.41,8,3,31
753,68.27,9,3,31
754,74.64,10,3,31
755,79.64,11,3,31
756,88.91,12,3,31
757,81.08,13,3,31
758,72.53,14,3,31
759,79.11,15,3,31
760,87.1,16,3,31
761,77.87,17,3,31
762,71.81,18,3,31
763,70.13,19,3,31
764,72.95,20,3,31
765,67.55,21,3,31
766,61.58,22,3,31
767,64.39,23,3,31
768,46.71,0,4,32
769,43.75,1,4,32
770,58.23,2,4,32
771,59.43,3,4,32
772,57.01,4,4,32
773,70.86,5,4,32
774,52.46,6,4,32
775,66.19,7,4,32
776,69.48,8,4,32
777,62.76,9,4,32
778,89.71,10,4,32
779,68.08,11,4,32
780,74.66,12,4,32
781,86.22,13,4,32
782,82.92,14,4,32
783,66.98,15,4,32
784,78.82,16,4,32
785,72.79,17,4,32
786,86.03,18,4,32
787,67.49,19,4,32
788,60.23,20,4,32
789,52.02,21,4,32
790,51.02,22,4,32
791,49.17,23,4,32
792,55.25,0,5,33
793,44.84,1,5,33
794,170.42,2,5,33
795,59.91,3,5,33
796,31.42,4,5,33
797,63.41,5,5,33
798,56.73,6,5,33
799,62.87,7,5,33
800,55.66,8,5,33
801,58.73,9,5,33
802,70.59,10,5,33
803,86.95,11,5,33
804,76.31,12,5,33
805,78.0,13,5,33
806,65.14,14,5,33
807,59.97,15,5,33
808,56.04,16,5,33
809,55.49,17,5,33
810,39.86,18,5,33
811,47.38,19,5,33
812,45.8,20,5,33
813,46.4,21,5,33
814,46.95,22,5,33
815,47.59,23,5,33
816,44.09,0,6,34
817,39.96,1,6,34
818,30.11,2,6,34
819,43.12,3,6,34
820,42.43,4,6,34
821,136.83,5,6,34
822,63.48,6,6,34
823,66.82,7,6,34
824,68.26,8,6,34
825,63.62,9,6,34
826,62.42,10,6,34
827,61.82,11,6,34
828,56.14,12,6,34
829,75.73,13,6,34
830,65.2,14,6,34
831,54.72,15,6,34
832,55.59,16,6,34
833,52.37,17,6,34
834,56.55,18,6,34
835,61.64,19,6,34
836,47.42,20,6,34
837,29.7,21,6,34
838,44.3,22,6,34
839,43.36,23,6,34
840,23.32,0,0,35
841,50.51,1,0,35
842,58.47,2,0,35
843,59.16,3,0,35
844,60.92,4,0,35
845,67.32,5,0,35
846,63.68,6,0,35
847,66.33,7,0,35
848,84.16,8,0,35
849,80.08,9,0,35
850,84.13,10,0,35
851,88.52,11,0,35
852,83.33,12,0,35
853,86.14,13,0,35
854,64.88,14,0,35
855,77.24,15,0,35
856,71.66,16,0,35
857,83.65,17,0,35
858,74.54,18,0,35
859,58.97,19,0,35
860,64.1,20,0,35
861,59.98,21,0,35
862,60.36,22,0,35
863,47.38,23,0,35
864,57.91,0,1,36
865,53.61,1,1,36
866,58.9,2,1,36
867,52.75,3,1,36
868,56.35,4,1,36
869,73.32,5,1,36
870,58.62,6,1,36
871,62.31,7,1,36
872,72.62,8,1,36
873,69.34,9,1,36
874,150.34,10,1,36
875,79.46,11,1,36
876,66.99,12,1,36
877,70.56,13,1,36
878,63.86,14,1,36
879,79.19,15,1,36
880,67.06,16,1,36
881,73.48,17,1,36
882,131.57,18,1,36
883,71.88,19,1,36
884,60.01,20,1,36
885,66.36,21,1,36
886,40.33,22,1,36
887,46.99,23,1,36
888,56.25,0,2,37
889,57.98,1,2,37
890,49.25,2,2,37
891,60.53,3,2,37
892,55.95,4,2,37
893,61.62,5,2,37
894,75.14,6,2,37
895,77.31,7,2,37
896,64.96,8,2,37
897,66.96,9,2,37
898,134.04,10,2,37
899,78.31,11,2,37
900,73.67,12,2,37
901,206.85,13,2,37
902,80.11,14,2,37
903,78.67,15,2,37
904,62.8,16,2,37
905,79.38,17,2,37
906,44.38,18,2,37
907,70.5,19,2,37
908,68.41,20,2,37
909,54.99,21,2,37
910,66.73,22,2,37
911,54.84,23,2,37
912,55.34,0,3,38
913,57.96,1,3,38
914,81.94,2,3,38
915,69.11,3,3,38
916,66.45,4,3,38
917,56.43,5,3,38
918,67.99,6,3,38
919,63.44,7,3,38
920,79.42,8,3,38
921,76.45,9,3,38
922,68.24,10,3,38
923,79.08,11,3,38
924,72.04,12,3,38
925,139.64,13,3,38
926,70.36,14,3,38
927,75.54,15,3,38
928,78.84,16,3,38
929,69.52,17,3,38
930,63.71,18,3,38
931,65.36,19,3,38
932,66.42,20,3,38
933,49.5,21,3,38
934,58.53,22,3,38
935,65.79,23,3,38
936,139.33,0,4,39
937,55.61,1,4,39
938,61.46,2,4,39
939,61.87,3,4,39
940,66.77,4,4,39
941,47.44,5,4,39
942,54.31,6,4,39
943,77.88,7,4,39
944,60.7,8,4,39
945,38.44,9,4,39
946,74.31,10,4,39
947,70.36,11,4,39
948,81.54,12,4,39
949,79.94,13,4,39
950,94.01,14,4,39
951,70.22,15,4,39
952,84.26,16,4,39
953,72.66,17,4,39
954,61.45,18,4,39
955,70.03,19,4,39
956,65.26,20,4,39
957,58.54,21,4,39
958,58.48,22,4,39
959,50.37,23,4,39
960,37.03,0,5,40
961,50.12,1,5,40
962,43.45,2,5,40
963,46.51,3,5,40
964,51.87,4,5,40
965,54.65,5,5,40
966,44.2,6,5,40
967,69.03,7,5,40
968,62.6,8,5,40
969,62.5,9,5,40
970,69.47,10,5,40
971,69.12,11,5,40
972,73.77,12,5,40
973,71.53,13,5,40
974,71.77,14,5,40
975,74.93,15,5,40
976,68.7,16,5,40
977,57.45,17,5,40
978,46.65,18,5,40
979,65.87,19,5,40
980,47.73,20,5,40
981,43.36,21,5,40
982,31.35,22,5,40
983,46.75,23,5,40
984,44.71,0,6,41
985,31.81,1,6,41
986,48.76,2,6,41
987,43.05,3,6,41
988,71.05,4,6,41
989,47.86,5,6,41
990,52.04,6,6,41
991,51.63,7,6,41
992,71.75,8,6,41
993,61.03,9,6,41
994,60.12,10,6,41
995,72.77,11,6,41
996,56.48,12,6,41
997,72.11,13,6,41
998,80.17,14,6,41
999,68.54,15,6,41
1000,66.63,16,6,41
1001,65.59,17,6,41
1002,69.2,18,6,41
1003,62.1,19,6,41
1004,53.04,20,6,41
1005,54.27,21,6,41
1006,38.04,22,6,41
1007,50.14,23,6,41
1008,46.36,0,0,42
1009,51.88,1,0,42
1010,31.36,2,0,42
1011,61.13,3,0,42
1012,55.26,4,0,42
1013,72.19,5,0,42
1014,69.53,6,0,42
1015,78.51,7,0,42
1016,63.74,8,0,42
1017,83.2,9,0,42
1018,93.65,10,0,42
1019,84.11,11,0,42
1020,84.73,12,0,42
1021,79.36,13,0,42
1022,72.6,14,0,42
1023,80.98,15,0,42
1024,60.36,16,0,42
1025,66.17,17,0,42
1026,52.24,18,0,42
1027,57.67,19,0,42
1028,65.55,20,0,42
1029,61.97,21,0,42
1030,56.42,22,0,42
1031,56.18,23,0,42
1032,39.2,0,1,43
1033,51.72,1,1,43
1034,50.45,2,1,43
1035,52.53,3,1,43
1036,65.09,4,1,43
1037,56.3,5,1,43
1038,61.45,6,1,43
1039,52.7,7,1,43
1040,69.94,8,1,43
1041,66.07,9,1,43
1042,77.32,10,1,43
1043,70.27,11,1,43
1044,79.13,12,1,43
1045,76.72,13,1,43
1046,90.06,14,1,43
1047,138.75,15,1,43
1048,57.57,16,1,43
1049,29.28,17,1,43
1050,66.73,18,1,43
1051,55.75,19,1,43
1052,36.54,20,1,43
1053,68.6,21,1,43
1054,61.66,22,1,43
1055,58.87,23,1,43
1056,49.31,0,2,44
1057,58.0,1,2,44
1058,50.14,2,2,44
1059,59.32,3,2,44
1060,52.8,4,2,44
1061,75.19,5,2,44
1062,53.61,6,2,44
1063,79.13,7,2,44
1064,72.48,8,2,44
1065,70.74,9,2,44
1066,77.9,10,2,44
1067,83.63,11,2,44
1068,89.1,12,2,44
1069,80.27,13,2,44
1070,69.44,14,2,44
1071,75.1,15,2,44
1072,86.7,16,2,44
1073,200.06,17,2,44
1074,73.44,18,2,44
1075,69.43,19,2,44
1076,65.77,20,2,44
1077,66.95,21,2,44
1078,52.12,22,2,44
1079,43.74,23,2,44
1080,54.6,0,3,45
1081,47.91,1,3,45
1082,47.21,2,3,45
1083,51.8,3,3,45
1084,79.93,4,3,45
1085,64.03,5,3,45
1086,68.94,6,3,45
1087,59.37,7,3,45
1088,57.29,8,3,45
1089,67.98,9,3,45
1090,87.94,10,3,45
1091,80.31,11,3,45
1092,82.83,12,3,45
1093,83.54,13,3,45
1094,71.71,14,3,45
1095,85.63,15,3,45
1096,66.98,16,3,45
1097,80.4,17,3,45
1098,69.58,18,3,45
1099,48.63,19,3,45
1100,54.06,20,3,45
1101,43.28,21,3,45
1102,64.96,22,3,45
1103,54.25,23,3,45
1104,36.09,0,4,46
1105,57.33,1,4,46
1106,51.22,2,4,46
1107,45.56,3,4,46
1108,73.34,4,4,46
1109,63.67,5,4,46
1110,63.57,6,4,46
1111,65.82,7,4,46
1112,59.81,8,4,46
1113,63.96,9,4,46
1114,86.59,10,4,46
1115,73.71,11,4,46
1116,78.09,12,4,46
1117,61.15,13,4,46
1118,65.76,14,4,46
1119,79.28,15,4,46
1120,74.94,16,4,46
1121,83.05,17,4,46
1122,76.66,18,4,46
1123,60.96,19,4,46
1124,63.7,20,4,46
1125,54.9,21,4,46
1126,71.96,22,4,46
1127,63.52,23,4,46
1128,44.14,0,5,47
1129,44.79,1,5,47
1130,55.95,2,5,47
1131,50.93,3,5,47
1132,61.25,4,5,47
1133,34.13,5,5,47
1134,58.47,6,5,47
1135,53.76,7,5,47
1136,74.83,8,5,47
1137,75.64,9,5,47
1138,65.44,10,5,47
1139,78.66,11,5,47
1140,81.05,12,5,47
1141,66.97,13,5,47
1142,84.95,14,5,47
1143,63.02,15,5,47
1144,59.06,16,5,47
1145,64.81,17,5,47
1146,51.95,18,5,47
1147,52.36,19,5,47
